area,infection
Barking and Dagenham,75
Barnet,124
Bexley,23
Brent,54
Bromley,44
Camden,35
Croydon,28
Ealing,122
Enfield,64
Greenwich,16
Hackney,194
Hammersmith and Fulham,60
Haringey,51
Harrow,68
Havering,56
Hillingdon,81
Hounslow,92
Islington,25
Kensington and Chelsea,54
Kingston upon Thames,28
Lambeth,78
Lewisham,31
Merton,22
Newham,68
Redbridge,57
Richmond upon Thames,43
Southwark,70
Sutton,19
Tower Hamlets,73
Waltham Forest,63
Wandsworth,96
Westminster,70
City of London,6
