area,infection
Barking and Dagenham,6437
Barnet,7256
Bexley,6835
Brent,5561
Bromley,7198
Camden,3384
Croydon,7645
Ealing,5563
Enfield,8765
Greenwich,5639
Hackney,5610
Hammersmith and Fulham,2728
Haringey,5667
Harrow,4974
Havering,9007
Hillingdon,5721
Hounslow,4850
Islington,3966
Kensington and Chelsea,1951
Kingston upon Thames,3198
Lambeth,5927
Lewisham,5408
Merton,4248
Newham,9119
Redbridge,9605
Richmond upon Thames,2806
Southwark,5616
Sutton,3969
Tower Hamlets,8408
Waltham Forest,7360
Wandsworth,5881
Westminster,3131
City of London,174
